common,strat_id,psu_id,YEAR,ST,ID_CODE,WAVE,SUB_REG,MODE_FX,AREA_X,kod,sp_code,CLAIM,RELEASE,HARVEST,CLAIM_UNADJ,HARVEST_UNADJ,RELEASE_UNADJ,tot_len_a,wgt_a,tot_len_b1,wgt_b1,region,month,wp_int,fl_reg,wp_catch,tot_cat,wgt_ab1,tot_len,landing,var_id,arx_method,alt_flag,date_published
SPANISH MACKEREL,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101003,1,6,3,1,we,8850030502,2,0,0,2,0,0,758,1.1,0,0,6,01,35292.7973,8,35292.7973,2,1.1,758,2,2023011263weS:8AM-8PM,,0,05/05/2023
CREVALLE JACK,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101004,1,6,3,1,we,8835280303,0,2,0,0,0,2,0,0,0,0,6,01,35292.7973,8,35292.7973,2,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631563620230101,2023,12,1563620230101005,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,35292.7973,8,35292.7973,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023021253wdS:8AM-8PM,2023112531586420230216,2023,12,1586420230216001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,02,6665.8535591,8,6665.8535591,0,0,0,0,2023021253wdS:8AM-8PM,,0,05/05/2023
,2023021253wdS:8AM-8PM,2023112531586420230216,2023,12,1586420230216002,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,02,6665.8535591,8,6665.8535591,0,0,0,0,2023021253wdS:8AM-8PM,,0,05/05/2023
FLORIDA POMPANO,2023021253wdS:8AM-8PM,2023112531586420230216,2023,12,1586420230216003,1,6,3,1,wd,8835280901,2,0,0,2,0,0,665,1.6870775176,0,0,5,02,6665.8535591,8,6665.8535591,2,1.6870775176,665,2,2023021253wdS:8AM-8PM,,0,05/05/2023
PARROTFISH FAMILY,2023021253wdS:8AM-8PM,2023112531586420230216,2023,12,1586420230216003,1,6,3,1,wd,8839030000,0,1,0,0,0,1,0,0,0,0,5,02,6665.8535591,8,6665.8535591,1,0,0,0,2023021253wdS:8AM-8PM,,0,05/05/2023
GRAY SNAPPER,2023021253wdS:8AM-8PM,2023112531586420230216,2023,12,1586420230216004,1,6,3,1,wd,8835360102,1,2,0,1,0,2,271,0.38,0,0,5,02,6665.8535591,8,6665.8535591,3,0.38,271,1,2023021253wdS:8AM-8PM,,0,05/05/2023
COMMON SNOOK,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121001,1,6,3,1,we,8835010105,0,1,0,0,0,1,0,0,0,0,6,01,3463.2581732,8,3463.2581732,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121001,1,6,3,1,we,8835440000,0,1,0,0,0,1,0,0,0,0,6,01,3463.2581732,8,3463.2581732,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
BONEFISH,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121004,1,6,3,1,we,8739010101,0,4,0,0,0,4,0,0,0,0,6,01,3463.2581732,8,3463.2581732,4,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
BLUE RUNNER,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121004,1,6,3,1,we,8835280306,0,1,0,0,0,1,0,0,0,0,6,01,3463.2581732,8,3463.2581732,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121005,1,6,3,1,we,8835440000,0,1,0,0,0,1,0,0,0,0,6,01,3463.2581732,8,3463.2581732,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
GULF KINGFISH,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121005,1,6,3,1,we,8835440602,1,0,0,1,0,0,249,0.16,0,0,6,01,3463.2581732,8,3463.2581732,1,0.16,249,1,2023011263weS:8AM-8PM,,0,05/05/2023
SAND DRUM,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121005,1,6,3,1,we,8835441101,2,0,0,2,0,0,544,0.58,0,0,6,01,3463.2581732,8,3463.2581732,2,0.58,544,2,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121006,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3463.2581732,8,3463.2581732,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121007,1,6,3,1,we,8835440000,0,1,0,0,0,1,0,0,0,0,6,01,3463.2581732,8,3463.2581732,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
GULF KINGFISH,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121008,1,6,3,1,we,8835440602,5,0,0,5,0,0,1479,1.4,0,0,6,01,3285.5147316,8,3285.5147316,5,1.4,1479,5,2023011263weS:8AM-8PM,,0,05/05/2023
SAND DRUM,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121008,1,6,3,1,we,8835441101,13,0,0,13,0,0,3462.3333333,3.0766666667,0,0,6,01,3285.5147316,8,3285.5147316,13,3.0766666667,3462.3333333,13,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121010,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3285.5147316,8,3285.5147316,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121011,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3285.5147316,8,3285.5147316,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121012,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3285.5147316,8,3285.5147316,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121013,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3285.5147316,8,3285.5147316,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121014,1,6,3,1,we,8835440000,0,1,0,0,0,1,0,0,0,0,6,01,3285.5147316,8,3285.5147316,1,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121015,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,6,01,3285.5147316,8,3285.5147316,0,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
DRUM FAMILY,2023011263weS:8AM-8PM,2023112631587120230121,2023,12,1587120230121016,1,6,3,1,we,8835440000,0,4,0,0,0,4,0,0,0,0,6,01,3285.5147316,8,3285.5147316,4,0,0,0,2023011263weS:8AM-8PM,,0,05/05/2023
,2023011273weS:8AM-8PM,2023112731587720230122,2023,12,1587720230122001,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,35766.374238,8,35766.374238,0,0,0,0,2023011273weS:8AM-8PM,,0,05/05/2023
,2023011273weS:8AM-8PM,2023112731587720230122,2023,12,1587720230122002,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,7,01,35766.374238,8,35766.374238,0,0,0,0,2023011273weS:8AM-8PM,,0,05/05/2023
,2023021273wdS:8AM-8PM,2023112731588920230215,2023,12,1588920230215001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,7,02,49069.959587,8,49069.959587,0,0,0,0,2023021273wdS:8AM-8PM,,0,05/05/2023
KINGFISH GENUS,2023021273wdS:8AM-8PM,2023112731588920230215,2023,12,1588920230215002,1,6,3,1,wd,8835440600,0,6,0,0,0,6,0,0,0,0,7,02,49069.959587,8,49069.959587,6,0,0,0,2023021273wdS:8AM-8PM,,0,05/05/2023
BLUEFISH,2023021273wdS:8AM-8PM,2023112731588920230215,2023,12,1588920230215003,1,6,3,1,wd,8835250101,0,1,0,0,0,1,0,0,0,0,7,02,49069.959587,8,49069.959587,1,0,0,0,2023021273wdS:8AM-8PM,,0,05/05/2023
FLORIDA POMPANO,2023021273wdS:8AM-8PM,2023112731588920230215,2023,12,1588920230215003,1,6,3,1,wd,8835280901,0,3,0,0,0,3,0,0,0,0,7,02,49069.959587,8,49069.959587,3,0,0,0,2023021273wdS:8AM-8PM,,0,05/05/2023
SHEEPSHEAD,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106001,1,6,3,1,we,8835430301,0,0,1,0,1,0,0,0,344,0.96,5,01,4498.1743073,8,4498.1743073,1,0.96,344,1,2023011253weS:8AM-8PM,,0,05/05/2023
SEA BASS FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106002,1,6,3,1,we,8835020000,0,1,0,0,0,1,0,0,0,0,5,01,4498.1743073,8,4498.1743073,1,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
SNAPPER FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106002,1,6,3,1,we,8835360000,0,3,0,0,0,3,0,0,0,0,5,01,4498.1743073,8,4498.1743073,3,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
GRUNT FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106002,1,6,3,1,we,8835400000,0,3,0,0,0,3,0,0,0,0,5,01,4498.1743073,8,4498.1743073,3,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
SNAPPER FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106003,1,6,3,1,we,8835360000,0,2,0,0,0,2,0,0,0,0,5,01,4498.1743073,8,4498.1743073,2,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
GRUNT FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106003,1,6,3,1,we,8835400000,0,3,0,0,0,3,0,0,0,0,5,01,4498.1743073,8,4498.1743073,3,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
SCORPIONFISH FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106004,1,6,3,1,we,8826010000,0,1,0,0,0,1,0,0,0,0,5,01,4767.5456222,8,4767.5456222,1,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
SEA CHUB GENUS,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106004,1,6,3,1,we,8835510100,0,0,1,0,1,0,0,0,0,0,5,01,4767.5456222,8,4767.5456222,1,0,0,1,2023011253weS:8AM-8PM,,0,05/05/2023
,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106005,1,6,3,1,we,,0,0,0,0,0,0,0,0,0,0,5,01,4767.5456222,8,4767.5456222,0,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
STINGRAY FAMILY,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106006,1,6,3,1,we,8713050000,0,1,0,0,0,1,0,0,0,0,5,01,4767.5456222,8,4767.5456222,1,0,0,0,2023011253weS:8AM-8PM,,0,05/05/2023
SEA CHUB GENUS,2023011253weS:8AM-8PM,2023112531592020230106,2023,12,1592020230106006,1,6,3,1,we,8835510100,0,0,1,0,1,0,0,0,0,0,5,01,4767.5456222,8,4767.5456222,1,0,0,1,2023011253weS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124001,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124002,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124003,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124004,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124005,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124006,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,15499.229743,8,15499.229743,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
REQUIEM SHARK GENUS,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124007,1,6,3,1,wd,8708020500,0,1,0,0,0,1,0,0,0,0,5,01,15499.229743,8,15499.229743,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
ATLANTIC SHARPNOSE SHARK,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124008,1,6,3,1,wd,8708020301,0,2,0,0,0,2,0,0,0,0,5,01,15499.229743,8,15499.229743,2,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
GRAY SNAPPER,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124009,1,6,3,1,wd,8835360102,0,1,0,0,0,1,0,0,0,0,5,01,7633.1459456,8,7633.1459456,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
REQUIEM SHARK GENUS,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124010,1,6,3,1,wd,8708020500,0,1,0,0,0,1,0,0,0,0,5,01,7633.1459456,8,7633.1459456,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
UNIDENTIFIED SKATE OR RAY,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124010,1,6,3,1,wd,8713000000,0,1,0,0,0,1,0,0,0,0,5,01,7633.1459456,8,7633.1459456,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124011,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
LITTLE TUNNY,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124012,1,6,3,1,wd,8850030102,0,1,0,0,0,1,0,0,0,0,5,01,7633.1459456,8,7633.1459456,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124013,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124014,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124015,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124016,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124017,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,7633.1459456,8,7633.1459456,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
ATLANTIC SHARPNOSE SHARK,2023011253wdS:8AM-8PM,2023112531592020230124,2023,12,1592020230124018,1,6,3,1,wd,8708020301,0,5,0,0,0,5,0,0,0,0,5,01,7633.1459456,8,7633.1459456,5,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
SPOTTAIL PINFISH,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102001,1,6,3,1,wd,8835430401,0,0,6,0,6,0,0,0,1468.8,2.616,5,01,8603.2127095,8,8603.2127095,6,2.616,1468.8,6,2023011253wdS:8AM-8PM,,0,05/05/2023
ATLANTIC SPADEFISH,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102001,1,6,3,1,wd,8835520101,0,2,0,0,0,2,0,0,0,0,5,01,8603.2127095,8,8603.2127095,2,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
GRUNT GENUS,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102002,1,6,3,1,wd,8835400100,0,3,0,0,0,3,0,0,0,0,5,01,8603.2127095,8,8603.2127095,3,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
ATLANTIC SPADEFISH,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102002,1,6,3,1,wd,8835520101,1,0,0,1,0,0,302,0.96,0,0,5,01,8603.2127095,8,8603.2127095,1,0.96,302,1,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102003,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
SNOOK GENUS,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102004,1,6,3,1,wd,8835010100,0,1,0,0,0,1,0,0,0,0,5,01,8603.2127095,8,8603.2127095,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102005,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102006,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102007,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
SNAPPER GENUS,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102008,1,6,3,1,wd,8835360100,0,1,0,0,0,1,0,0,0,0,5,01,8603.2127095,8,8603.2127095,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
SPOTTAIL PINFISH,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102008,1,6,3,1,wd,8835430401,0,1,0,0,0,1,0,0,0,0,5,01,8603.2127095,8,8603.2127095,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
ATLANTIC SPADEFISH,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102008,1,6,3,1,wd,8835520101,0,1,0,0,0,1,0,0,0,0,5,01,8603.2127095,8,8603.2127095,1,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102009,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102010,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102011,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102012,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102013,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102014,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102015,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102016,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102017,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102018,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102019,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102020,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102021,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102022,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102023,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102024,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102025,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102026,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
,2023011253wdS:8AM-8PM,2023112531592520230102,2023,12,1592520230102027,1,6,3,1,wd,,0,0,0,0,0,0,0,0,0,0,5,01,8603.2127095,8,8603.2127095,0,0,0,0,2023011253wdS:8AM-8PM,,0,05/05/2023
