prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,MODE_ASG,NUM_TYP9,ASG_CODE,month,kod,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,20,24,2,5,1169420031108002,643,6,6,1,5,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1259,06415,0,20036498611we,,0,1169420031108002,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,9,Y,5,6,2,5,1169420031108003,643,6,6,2,1,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,NEW HAVEN,20040317,8,1,1,6,,,8839010101,,1,,8,1302,06457,0,20036498611we,,0,1169420031108003,05/04/2021
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,41,O,0,0,2,5,1169420031108004,643,6,6,0,3,0,1,1,36,5,9,36,4,1,6,2003,6,8,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1307,12803,0,20036498611we,,0,1169420031108004,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,15,30,2,5.5,1169420031108005,643,6,6,2,2,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1309,06323,0,20036498611we,,0,1169420031108005,05/04/2021
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,91,O,1,1,2,4,1169420031108006,643,6,6,2,1,0,1,1,36,5,9,36,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1310,12831,0,20036498611we,,0,1169420031108006,05/04/2021
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,91,O,1,1,2,4.5,1169420031108007,643,6,6,0,1,0,1,1,36,5,9,36,4,1,6,2003,6,2,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,,20040317,8,1,1,6,,,,,1,,8,1311,12831,0,20036498611we,,0,1169420031108007,05/04/2021
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,7,Y,3,3,2,3.5,1169420031108008,643,6,6,1,2,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,MIDDLESEX,20040317,8,1,1,6,,,,,1,,8,1312,06457,0,20036498611we,,0,1169420031108008,05/04/2021
,,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,0,1,2,4.5,1169420031108009,643,6,6,0,1,0,1,1,36,4,9,9,4,1,6,2003,6,12,1169420031108,11,we,,1169420031108001,1,1,0,8,1,,HARTFORD,20040317,8,1,1,6,,,,,1,,8,1314,06040,0,20036498611we,,0,1169420031108009,05/04/2021
,TAUTOG,20036498611we,116942003110811643,,C,5,7,2,1,11,15,Y,17,150,2,5,1169420031108010,643,6,6,0,0,0,1,1,36,4,9,9,4,1,6,2003,6,5,1169420031108,11,we,,1169420031108001,,,,8,1,,WINDHAM,20040317,8,8,1,6,,,8839010101,,1,,8,1316,06249,0,20036498611we,,0,1169420031108010,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,10,50,2,5,1169420031108011,643,6,6,0,3,0,1,1,36,4,9,9,4,1,6,2003,6,14,1169420031108,11,we,,1169420031108001,1,4,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1318,06040,0,20036498611we,,0,1169420031108011,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,40,300,2,5,1169420031108012,643,6,6,0,6,0,1,1,36,4,9,9,4,1,6,2003,6,5,1169420031108,11,we,,1169420031108001,1,8,0,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1320,06357,0,20036498611we,,0,1169420031108012,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,11,Y,4,7,2,5,1169420031108013,643,6,6,2,1,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,2,0,8,1,,NEW LONDON,20040317,8,1,1,6,,,8839010101,,1,,8,1321,06355,0,20036498611we,,0,1169420031108013,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,6,10,2,5,1169420031108014,643,6,6,0,1,0,1,1,36,4,9,9,4,1,6,2003,6,1,1169420031108,11,we,,1169420031108001,1,1,0,8,2,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1322,06051,0,20036498611we,,0,1169420031108014,05/04/2021
,TAUTOG,20036498611we,116942003110811643,,C,5,7,2,1,11,15,Y,15,120,2,5,1169420031108015,643,6,6,0,0,0,1,1,36,4,9,9,4,1,6,2003,6,6,1169420031108,11,we,,1169420031108001,,,,8,2,,WINDHAM,20040317,8,8,1,6,,,8839010101,,1,,8,1323,06244,0,20036498611we,,0,1169420031108015,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,3,Y,8,25,2,5,1169420031108016,643,6,6,2,3,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,3,0,8,1,,HARTFORD,20040317,8,1,1,6,,,8839010101,,1,,8,1324,06051,0,20036498611we,,0,1169420031108016,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,1,1,11,27,O,8,15,2,5,1169420031108017,643,6,6,1,1,0,1,1,36,4,9,25,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,,20040317,8,1,1,6,,,8839010101,,1,,8,1325,01068,0,20036498611we,,0,1169420031108017,05/04/2021
,TAUTOG,20036498611we,116942003110811643,0,C,5,7,2,1,11,3,Y,16,50,2,5,1169420031108018,643,6,6,1,0,0,1,1,36,4,9,9,4,1,6,2003,6,0,1169420031108,11,we,,1169420031108001,1,,,8,1,,HARTFORD,20040317,8,8,1,6,,,8839010101,,1,,8,1326,06119,0,20036498611we,,0,1169420031108018,05/04/2021
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,33,O,0,0,1,3,1169520031108001,442,7,6,1,0,0,0,1,5,5,9,24,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,,,8,1,,PRINCE GEORGES,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1340,20721,0,20036498611we,,0,1169520031108001,05/04/2021
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108002,442,7,6,2,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,0,3,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1341,06119,0,20036498611we,,0,1169520031108002,05/04/2021
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,9,Y,0,0,2,3,1169520031108003,442,7,6,3,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,,,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1342,06119,0,20036498611we,,0,1169520031108003,05/04/2021
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108004,442,7,6,0,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,,,,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1243,06002,0,20036498611we,,0,1169520031108004,05/04/2021
STRIPED BASS,TAUTOG,20036498611we,11695200311087442,0,C,5,5,2,1,7,3,Y,0,0,2,3,1169520031108005,442,7,6,1,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031108,11,we,,1169520031108001,1,0,3,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1344,06107,0,20036498611we,,0,1169520031108005,05/04/2021
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,13,Y,0,10,1,3,1169520031109001,651,7,6,1,0,0,0,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,2,,TOLLAND,20040317,8,8,1,7,,,8839010101,,1,,8,1115,06231,0,20036498611we,,0,1169520031109001,05/04/2021
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,13,Y,8,75,2,3,1169520031109002,651,7,6,3,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,2,,TOLLAND,20040317,8,8,1,7,,,8839010101,,1,,8,1116,06248,0,20036498611we,,0,1169520031109002,05/04/2021
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,3,Y,0,0,2,3,1169520031109003,651,7,6,2,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,4,8,2,,HARTFORD,20040317,8,8,1,7,,,8839010101,,1,,8,1117,06033,0,20036498611we,,0,1169520031109003,05/04/2021
,TAUTOG,20036498611we,116952003110911651,0,C,5,5,2,1,11,7,Y,0,0,2,3,1169520031109004,651,7,6,2,0,0,1,1,4,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109001,1,0,3,8,1,,MIDDLESEX,20040317,8,8,1,7,,,8839010101,,1,,8,1118,06424,0,20036498611we,,0,1169520031109004,05/04/2021
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,4,20,1,5,1169520031109005,639,7,6,5,0,0,0,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1530,06477,0,20036498611we,,0,1169520031109005,05/04/2021
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,1,4,2,5,1169520031109006,639,7,6,4,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,2,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1531,06477,0,20036498611we,,0,1169520031109006,05/04/2021
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,2,2,5,1169520031109007,639,7,6,1,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,,,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1532,06477,0,20036498611we,,0,1169520031109007,05/04/2021
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,3,2,5,1169520031109008,639,7,6,4,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,2,8,2,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1533,06477,0,20036498611we,,0,1169520031109008,05/04/2021
TAUTOG,STRIPED BASS,20036498611we,116952003110911639,0,C,5,7,2,1,11,9,Y,0,2,2,5,1169520031109009,639,7,6,6,0,0,1,1,5,4,9,9,4,1,6,2003,5,0,1169520031109,11,we,,1169520031109005,1,0,1,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1534,06477,0,20036498611we,,0,1169520031109009,05/04/2021
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,5.5,2,1,7,297,O,0,0,1,3,1169520031110001,442,7,6,4,0,0,0,1,3,7,9,48,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,1,,,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1300,78060,0,20036498611wd,,0,1169520031110001,05/04/2021
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,3,2,1,7,297,O,0,1,2,3,1169520031110002,442,7,6,4,0,0,1,1,3,7,9,48,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,2,,,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1301,78060,0,20036498611wd,,0,1169520031110002,05/04/2021
TAUTOG,STRIPED BASS,20036498611wd,11695200311107442,0,C,5,5,2,1,7,5,Y,0,6,2,3,1169520031110003,442,7,6,4,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031110,11,wd,,1169520031110001,1,0,2,8,1,,LITCHFIELD,20040317,8,8,1,7,,,8835020102,8839010101,1,,8,1302,06751,0,20036498611wd,,0,1169520031110003,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,6,1,5.5,1169520031111001,442,7,6,3,0,0,0,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1430,06078,0,20036498611wd,,0,1169520031111001,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,13,Y,0,3,2,4.5,1169520031111002,442,7,6,2,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,TOLLAND,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1431,06066,0,20036498611wd,,0,1169520031111002,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,6,60,2,5.5,1169520031111003,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1432,06040,0,20036498611wd,,0,1169520031111003,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,3,12,2,4.5,1169520031111004,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1433,06042,0,20036498611wd,,0,1169520031111004,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,0,2,5,1169520031111005,442,7,6,2,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,0,1,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1434,06278,0,20036498611wd,,0,1169520031111005,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311117442,0,C,5,7,2,1,7,3,Y,0,1,2,4.5,1169520031111006,442,7,6,3,0,0,1,1,6,4,9,9,4,1,6,2003,5,0,1169520031111,11,wd,,1169520031111001,1,,,8,1,,HARTFORD,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1435,06108,0,20036498611wd,,0,1169520031111006,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,4,1,5,1169520031112001,442,7,6,3,0,0,0,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1315,06716,0,20036498611wd,,0,1169520031112001,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,4,2,5,1169520031112002,442,7,6,3,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1316,06716,0,20036498611wd,,0,1169520031112002,05/04/2021
STRIPED BASS,TAUTOG,20036498611wd,11695200311127442,0,C,5,5.5,2,1,7,9,Y,1,6,2,5,1169520031112003,442,7,6,5,0,0,1,1,3,4,9,9,4,1,6,2003,5,0,1169520031112,11,wd,,1169520031112001,1,,,8,1,,NEW HAVEN,20040317,8,8,1,7,,,8839010101,8835020102,1,,8,1317,06705,0,20036498611wd,,0,1169520031112003,05/04/2021
TAUTOG,STRIPED BASS,20036498711we,11694200311017825,0,C,5,6,1,1,7,3,Y,10,15,1,5,1169420031101001,825,8,7,2,1,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101001,1,,,8,1,,HARTFORD,20040317,8,1,1,8,,,8835020102,8839010101,1,,8,1005,06019,1137.933819,20036498711we,,0,1169420031101001,05/04/2021
TAUTOG,STRIPED BASS,20036498711we,11694200311017825,0,C,5,6,1,1,7,3,Y,10,25,2,5,1169420031101002,825,8,7,1,1,0,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101001,1,,,8,1,,HARTFORD,20040317,8,1,1,8,,,8835020102,8839010101,1,,8,1007,06035,1137.933819,20036498711we,,0,1169420031101002,05/04/2021
STRIPED BASS,BLUEFISH,20036498711we,11694200311017825,,C,5,2.5,2,1,7,3,Y,8,10,1,2,1169420031101003,825,8,7,0,0,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101003,,,,8,1,,HARTFORD,20040317,8,8,1,8,,,8835250101,8835020102,1,,8,1020,06479,1137.933819,20036498711we,,0,1169420031101003,05/04/2021
STRIPED BASS,BLUEFISH,20036498711we,11694200311017825,,C,5,2.5,2,1,7,9,Y,8,10,2,2,1169420031101004,825,8,7,0,0,0,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101003,,,,8,1,,NEW HAVEN,20040317,8,8,1,8,,,8835250101,8835020102,1,,8,1022,06704,1137.933819,20036498711we,,0,1169420031101004,05/04/2021
,TAUTOG,20036498711we,11694200311017825,0,C,5,3.5,1,2,7,5,Y,12,20,1,3,1169420031101005,825,8,7,0,7,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101005,1,7,0,8,1,,LITCHFIELD,20040317,8,2,1,8,,,8839010101,,1,,2,1100,06786,1137.933819,20036498711we,,0,1169420031101005,05/04/2021
,TAUTOG,20036498711we,11694200311017825,,C,5,3.5,3,0,7,5,Y,12,20,2,3,1169420031101006,825,8,7,0,0,1,1,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101005,,,,8,2,,LITCHFIELD,20040317,8,8,1,8,,,8839010101,,1,,8,1102,06786,1137.933819,20036498711we,,0,1169420031101005,05/04/2021
,STRIPED BASS,20036498711we,11694200311017825,,C,5,4.5,2,1,7,3,Y,7,12,8,3,1169420031101007,825,8,7,0,0,0,0,,1,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101007,,,,8,1,,HARTFORD,20040317,8,8,1,8,,,8835020102,,1,,8,1120,06037,1137.933819,20036498711we,,0,1169420031101007,05/04/2021
TAUTOG,SCUP,20036498711we,11694200311017825,,C,5,3,2,1,7,7,Y,30,75,1,1,1169420031101008,825,8,7,0,0,0,0,,2,4,9,9,4,1,6,2003,3,0,1169420031101,11,we,,1169420031101008,,,,8,1,,MIDDLESEX,20040317,8,8,1,8,,,8835430101,8839010101,1,,8,1223,06412,1137.933819,20036498711we,,0,1169420031101008,05/04/2021
